SerialNumber,WentLiveOn
VSH209999,10/18/2013
VSH210005_OLD,10/18/2013
VSH209711,10/21/2013
VSH209825,10/21/2013
VSH209860,10/21/2013
VSH209879_REL,10/21/2013
VSH209912_OLD,10/21/2013
VSH209969,10/21/2013
VSH209988_OLD,10/22/2013
VSH209880,10/23/2013
VSH209990_OLD,10/23/2013
VSH210022,10/23/2013
VSH209856,10/24/2013
VSH316836,10/24/2013
VSH210043,10/24/2013
VSH209925,10/25/2013
VSH209935,10/25/2013
VSH209830_OLD,10/28/2013
VSH209858,10/28/2013
VSH209961,10/28/2013
VSH210017_OLD,10/28/2013
VSH209865_RELO,10/28/2013
VSH209979_REL,10/29/2013
VSH209951,10/29/2013
VSH209976,10/30/2013
VSH313055_OLD,10/30/2013
VSH210007_OLD,10/31/2013
VSH210034_,10/31/2013
VSH210061,10/31/2013
VSH210045,10/31/2013
VSH209954,11/1/2013
VSH210060,11/1/2013
VSH209934,11/4/2013
VSH209989_OLD,11/4/2013
VSH209967_OLD,11/5/2013
VSH209968_OLD,11/5/2013
VSH209960_RELO,11/6/2013
VSH209974,11/6/2013
VSH209987,11/6/2013
VSH209891,11/7/2013
VSH109447,11/7/2013
VSH210053,11/7/2013
VSH210058,11/7/2013
VSH209398,11/7/2013
vsh318576_old5,11/8/2013
VSH209759_OLD,11/8/2013
VSH210048,11/8/2013
VSH209754,11/11/2013
VSH210027,11/11/2013
VSH310017,11/11/2013
VSH209962OLD,11/11/2013
VSH209966,11/12/2013
VSH209823_OLD,11/12/2013
VSH209995_OLD,11/12/2013
VSH210004,11/12/2013
VSH210057_OLD,11/12/2013
VSH209380,11/12/2013
VSH209978,11/13/2013
VSH210020_OLD,11/13/2013
VSH209886,11/14/2013
VSH210002_OLD,11/14/2013
VSH210063,11/14/2013
VSH210025,11/14/2013
VSH250004,11/15/2013
VSH321050,11/16/2013
VSH209916_OLD,11/18/2013
VSH209955,11/18/2013
VSH210008_OLD,11/18/2013
VSH210055,11/18/2013
VSH210083,11/18/2013
VSH210059_REL,11/18/2013
VSH209338,11/19/2013
VSH209258_OLD2,11/19/2013
VSH209936,11/19/2013
VSH210035,11/19/2013
VSH209907,11/19/2013
VSH310021,11/19/2013
VSH109125,11/20/2013
VSH310019,11/21/2013
VSH209997,11/21/2013
VSH210041,11/21/2013
VSH210065,11/21/2013
VSH310018,11/22/2013
VSH209057,11/22/2013
VSH209854,11/25/2013
VSH210066,11/25/2013
VSH210029,11/25/2013
VSH209937,11/27/2013
VSH314005,11/29/2013
VSH210018,12/2/2013
VSH210023_,12/2/2013
VSH210040,12/2/2013
VSH210074_OLD,12/2/2013
VSH209970,12/3/2013
VSH209944,12/4/2013
VSH210012,12/4/2013
VSH209799_OLD,12/4/2013
VSH210084_OLD,12/4/2013
VSH209427,12/5/2013
VSH210028,12/6/2013
VSH210052,12/7/2013
VSH209913,12/9/2013
VSH209982,12/9/2013
VSH250006_REL,12/9/2013
VSH210093,12/9/2013
VSH210100_OLD,12/9/2013
VSH210103_RELO,12/9/2013
VSH210003_OLD,12/10/2013
VSH210032,12/10/2013
VSH210047,12/10/2013
VSH210106,12/10/2013
VSH210154,12/10/2013
VSH210049,12/11/2013
VSH210064,12/11/2013
VSH210016_OLD,12/12/2013
VSH210039,12/12/2013
VSH109449,12/12/2013
VSH311240_OLD,12/12/2013
VSH209596_OLD,12/13/2013
VSH210105,12/13/2013
VSH210115,12/13/2013
VSH209755,12/16/2013
VSH210090,12/16/2013
VSH109448_OLD,12/16/2013
VSH210056,12/16/2013
VSH109448,12/16/2013
VSH210001,12/17/2013
VSH209019,12/17/2013
VSH209985,12/18/2013
VSH210019_OLD,12/19/2013
VSH250009,12/19/2013
VSH210116,12/19/2013
VSH210136,12/19/2013
VSH210137,12/20/2013
VSH209252_OLD,12/20/2013
VSH210033,12/21/2013
VSH209037_REL,12/23/2013
VSH210044,12/25/2013
VSH210128_OLD,12/26/2013
VSH210147,12/28/2013
VSH209359_OLD,12/29/2013
VSH209983_OLD,12/30/2013
VSH210144,12/30/2013
VSH210072_OLD,12/31/2013
VSH210096,12/31/2013
VSH209644,1/2/2014
VSH209658_OLD,1/2/2014
VSH210158,1/2/2014
VSH210163,1/2/2014
VSH209650_OLD,1/3/2014
VSH210095,1/3/2014
VSH210078,1/4/2014
VSH209964,1/6/2014
VSH209965,1/6/2014
VSH250002,1/6/2014
VSH250001,1/6/2014
VSH250010_OLD,1/6/2014
VSH209906,1/6/2014
VSH210097_OLD,1/6/2014
VSH210141_OLD,1/6/2014
VSH210161,1/6/2014
VSH109445_OLD,1/6/2014
VSH210162_OLD,1/6/2014
VSH210113_TAP,1/7/2014
VSH318836,1/7/2014
VSH250007,1/8/2014
VSH210133,1/8/2014
VSH209993_OLD,1/9/2014
VSH209105,1/9/2014
VSH109425,1/10/2014
VSH250012,1/10/2014
VSH210013_OLD2,1/13/2014
VSH250003,1/13/2014
VSH210114,1/13/2014
VSH209026_RELO,1/14/2014
VSH209975,1/14/2014
VSH210135,1/14/2014
VSH250013_OLD,1/14/2014
VSH209064_OLD,1/14/2014
VSH209994_OLD,1/15/2014
VSH250011,1/15/2014
VSH250016,1/15/2014
VSH250032,1/15/2014
